Epoch,Score,Average Score,Steps
0,-10.32031057273004,-10.32031057273004,98
1,-9.890079915992617,-10.10519524436133,98
2,-9.770879263507537,-9.993756584076733,98
3,-8.749409160556855,-9.682669728196764,98
4,-10.030973712013225,-9.752330524960055,98
5,-9.087929434899907,-9.641597009950031,98
6,-9.561144385905475,-9.630103777943665,98
7,-9.997130679259707,-9.67598214060817,98
8,-9.50266766890682,-9.656724977085798,98
9,-9.580231099587992,-9.649075589336018,98
10,-12.882002351286019,-9.942978022240563,98
11,-13.741136260402774,-10.25949120875408,98
12,-13.815561938337558,-10.533035111029733,98
13,-13.635014798667527,-10.754605088718147,98
14,-12.946717219479707,-10.900745897435582,98
15,-9.343104635764318,-10.80339331858113,98
16,-10.273651273721178,-10.772232021824662,98
17,-12.336349239490861,-10.859127422806118,98
18,-11.964814455025552,-10.917321477133456,98
19,-13.617129371615228,-11.052311871857544,98
20,-14.632815866882606,-11.222812062096832,98
21,-14.572885057168333,-11.375088107327356,98
22,-14.638620621640856,-11.516980825340985,98
23,-14.703520370790402,-11.64975330640138,98
24,-14.747512744099037,-11.773663683909286,98
25,-14.688834180389021,-11.885785626081582,98
26,-15.406499599003956,-12.016182439893521,98
27,-13.684576075274059,-12.075767926871396,98
28,-13.730695135760945,-12.132834382350346,98
29,-12.33115349668287,-12.139445019494763,98
30,-11.72571676747807,-12.126098946849064,98
31,-11.348744514002847,-12.101806620822622,98
32,-12.31954115652886,-12.108404637056145,98
33,-13.516375255815982,-12.149815537607905,98
34,-14.390473907674574,-12.213834348181239,98
35,-14.60895016967985,-12.280365343222867,98
36,-15.425632260480928,-12.365372557202814,98
37,-14.634621505545788,-12.425089634790789,98
38,-14.571003496287393,-12.480113067136855,98
39,-14.651106351865595,-12.534387899255071,98
40,-14.603600231950452,-12.584856492735447,98
41,-14.57139959816173,-12.63215513810274,98
42,-14.531379574134814,-12.676323148243021,98
43,-13.856915928685227,-12.703154802343981,98
44,-13.845099393181036,-12.728531348807026,98
45,-14.483506604788682,-12.766682984806627,98
46,-13.750585468069604,-12.7876170801952,98
47,-12.961152737040898,-12.791232406379484,98
48,-12.545470718435883,-12.786216861727574,98
49,-12.377248255491692,-12.778037489602857,98
50,-11.059408925132235,-12.744338890299513,98
51,-8.994146315338082,-12.672219802319486,98
52,-10.423529482249343,-12.62979168307288,98
53,-13.55436967241782,-12.646913497690377,98
54,-12.47447096636984,-12.643778178939096,98
55,-11.875024838313127,-12.630050440713632,98
56,-12.325940509960319,-12.624715178770591,98
57,-12.536380489159935,-12.623192166880752,98
58,-11.840392390503439,-12.609924374060798,98
59,-11.797414966598058,-12.596382550603085,98
60,-12.414520373803692,-12.59340120344244,98
61,-12.0262483622863,-12.584253576972179,98
62,-12.549778224393533,-12.58370634915347,98
63,-13.610481054937672,-12.599749703931348,98
64,-13.818026945537701,-12.618492430725292,98
65,-13.70881608137398,-12.63501248603815,98
66,-13.119982320979078,-12.642250841783536,98
67,-13.760187204885648,-12.65869108241739,98
68,-13.753719562350959,-12.674561060387441,98
69,-13.115871768714666,-12.68086549907783,98
70,-13.652379108012914,-12.694548789344521,98
71,-13.822018119389108,-12.710208085595143,98
72,-14.42213268239294,-12.733659107469085,98
73,-14.494528372143991,-12.757454638072801,98
74,-14.500459595739075,-12.780694704175017,98
75,-14.47879976142638,-12.80303819177043,98
76,-14.539691044457912,-12.825592124922215,98
77,-14.432367776535068,-12.846191812763406,98
78,-13.861068431282058,-12.859038352238326,98
79,-13.811699003509384,-12.870946610379216,98
80,-13.14773441597583,-12.874363743781641,98
81,-11.830783789549828,-12.861637158973934,98
82,-13.704498210058281,-12.871792111396639,98
83,-14.407379844053615,-12.890072917737793,98
84,-13.896371389409426,-12.901911723286872,98
85,-13.675191924714516,-12.91090335353603,98
86,-13.610024469425658,-12.918939228431315,98
87,-12.312443765079925,-12.912047234529593,98
88,-11.023096869089317,-12.890823073120153,98
89,-12.454402562073245,-12.885973956330742,98
90,-12.977098973769445,-12.88697533014875,98
91,-12.480078761395491,-12.882552541357956,98
92,-11.776107974401175,-12.870655287949818,98
93,-11.048587678538993,-12.851271589977362,98
94,-11.39739740577307,-12.835967651196265,98
95,-12.517115011030254,-12.832646269527869,98
96,-11.543424280872841,-12.81935532119122,98
97,-10.144158490339404,-12.792057394345791,98
98,-10.937584798296367,-12.773325347921048,98
99,-11.33109247444385,-12.758903019186278,98
100,-11.958323840358021,-12.750976492663225,98
101,-9.222044528415436,-12.740102571432386,98
102,-13.66187983748456,-12.777447125110525,98
103,-13.707101279423256,-12.816419620317612,98
104,-13.093878193138966,-12.859434165194664,98
105,-13.6457629501015,-12.895224157650983,98
106,-13.770642777545705,-12.941587656093018,98
107,-13.647907064663087,-12.9820506529124,98
108,-13.581513423553552,-13.017539590974717,98
109,-13.58897102907492,-13.05799804008529,98
110,-13.786261152814413,-13.099641901998423,98
111,-13.634483972814158,-13.107092215082863,98
112,-13.090560407021684,-13.100650869999882,98
113,-12.032614647373604,-13.08299792652499,98
114,-12.374220797976815,-13.07051481760726,98
115,-13.165699873632503,-13.072682962697883,98
116,-13.582582257853316,-13.11465798865916,98
117,-13.167003031146475,-13.14330503576238,98
118,-13.579460997395572,-13.15561307296936,98
119,-13.587812791049243,-13.171682363425038,98
120,-13.681956482534254,-13.172324216008395,98
121,-13.614390078830104,-13.16224079236431,98
122,-13.663533194855738,-13.153237308579035,98
123,-13.177627010202949,-13.138772025297472,98
124,-13.131828771470303,-13.12321072233391,98
125,-13.08878327010361,-13.106787658234946,98
126,-12.003724773148011,-13.080202416579091,98
127,-10.323150523028533,-13.029872227708049,98
128,-9.831949516408727,-12.99172741029354,98
129,-11.067727708837754,-12.965361396165587,98
130,-10.995089759664394,-12.95213304233372,98
131,-11.815223891109286,-12.953019251478585,98
132,-11.419873767462866,-12.95372350151284,98
133,-11.433374441381108,-12.94494957364009,98
134,-10.355635574236889,-12.91365512134723,98
135,-10.168695432453891,-12.871855334463858,98
136,-10.657760973808232,-12.832734649356217,98
137,-12.537622153464254,-12.804140489880806,98
138,-11.305533457772073,-12.771179222081065,98
139,-11.925666453581762,-12.744987766212693,98
140,-12.01229457016849,-12.71886091688896,98
141,-10.935139443648705,-12.682539522945378,98
142,-11.854759022185037,-12.655642091500063,98
143,-11.143781081527875,-12.622101512365342,98
144,-11.3944657199814,-12.597720817229657,98
145,-11.419637718001647,-12.57370634519818,98
146,-11.073117714385907,-12.53994011856053,98
147,-11.153265392661217,-12.514224078209953,98
148,-11.483657542642437,-12.499595412918879,98
149,-10.726824732534968,-12.481589017018871,98
150,-11.410276893902294,-12.47201504314175,98
151,-12.022937498506947,-12.481554930006844,98
152,-11.771149539830466,-12.509050011437465,98
153,-11.159255291179164,-12.51633442538726,98
154,-10.775324216247826,-12.488819123841024,98
